epoch,mse_stat,check_ghi,check_dhi,check_dni,check_diffuse_fraction,check_consistence,check_overcast_condition,check_maximum_direct_fraction,check_tracker_off,check_loss_physics,total_loss
1,7.002953363163844,9.281439964468392,2.5837064014583926,0.0,0.0,4.792628837512737,0.0,0.12190082302796329,0.0002319466296874643,16.77990815048304,174.8020300865172
2,6.877464639635744,0.0,0.0,0.0,0.0,0.0684436544266314,0.0,0.10454849651271438,0.0006972892256908677,0.17368943974715487,8.614359058852303
3,6.875726487038576,0.0,0.0,0.0,0.0,0.06842834629870787,0.0,0.1045912065412789,0.0007287935416004841,0.17374834597887362,8.613209986919685
4,6.8916398919754815,0.0,0.0,0.0,0.0,0.06661807799086891,0.0,0.10467321505764023,0.0006034400528508233,0.1718947334087632,8.610587217132126
5,6.905928334506409,0.0,0.0,0.0,0.0,0.06457934299247267,0.0,0.10478697542453046,0.0005825136390784664,0.1699488323655114,8.605416662918246
6,6.902248706025489,0.0,0.0,0.0,0.0,0.06452241421037073,0.0,0.10489933777612662,0.0005435046703093578,0.1699652572311095,8.601901259406763
7,6.9113712310791,0.0,0.0,0.0,0.0,0.06309328968439508,0.0,0.10506322589196286,0.0003956796643885417,0.16855219530748636,8.596893194055717
8,6.904976588507038,0.0,0.0,0.0,0.0,0.062394088528540684,0.0,0.10523567001672049,0.00034962274765152913,0.167979381371787,8.58477042940619
9,6.926309418988928,0.0,0.0,0.0,0.0,0.060547131025732906,0.0,0.10559353450804665,0.00032691840167348466,0.16646758396578923,8.590985273305295
10,6.931769316281864,0.0,0.0,0.0,0.0,0.05870312815137717,0.0,0.10568861294452847,0.00023755222461899246,0.16462929386657676,8.578062273392073
11,6.936501546092451,0.0,0.0,0.0,0.0,0.05755769806619774,0.0,0.10575378319727873,0.000185393409785308,0.16349687478247216,8.571470308769802
12,6.929510118130361,0.0,0.0,0.0,0.0,0.05726680883391477,0.0,0.10552763742324979,0.00018400647935339214,0.16297845309448555,8.559294635387504
13,6.7980270067333,0.0,0.0,0.0,0.0,0.06503613042593585,0.0,0.10602600180850352,0.00020198483347698607,0.17126411699510938,8.510668189207188
14,6.199384127455347,0.0,0.0,0.0,0.0,0.1020189216178432,0.0,0.1063741063547445,0.0013885312813792239,0.20978155868061202,8.297199719891866
15,5.698413595314518,0.0,0.0,0.0,0.0,0.1308646314210146,0.0,0.10743215265122603,0.0023908965981259017,0.24068768128315876,8.105290419115692
16,5.592792986658575,0.0,0.0,0.0,0.0,0.13422088596836368,0.0,0.10929760625676915,0.002120932483937928,0.24563942456478396,8.049187239295888
17,5.616797506615083,0.0,0.0,0.0,0.0,0.12724440641312923,0.0,0.11698151442923066,0.0016346572191493897,0.2458605778916262,8.075403271746561
18,5.794896075702258,0.0,0.0,0.0,0.0,0.12460700673709477,0.0,0.10457753356097181,0.001607019805382779,0.23079156069879797,8.102811679777956
19,5.605568203553318,0.0,0.0,0.0,0.0,0.13429214201066714,0.0,0.10567799615840572,0.0015596898472852723,0.24152982836825834,8.02086650587449
20,5.571102930590852,0.0,0.0,0.0,0.0,0.13387627404559324,0.0,0.10763642218582793,0.001307158586826988,0.24281985475302514,7.999301525979553
21,5.481323162196899,0.0,0.0,0.0,0.0,0.1340575224267931,0.0,0.11513168646283574,0.001177175971603549,0.25036638489763613,7.984987013503082
22,5.532388695288166,0.0,0.0,0.0,0.0,0.13546008191978506,0.0,0.11071827825680612,0.0012674326730659994,0.247445793367364,8.006846603430834
23,5.537923379130783,0.0,0.0,0.0,0.0,0.1343402574475891,0.0,0.10885197023712473,0.001143253089841879,0.24433548020423415,7.981278184959089
24,5.441559069319737,0.0,0.0,0.0,0.0,0.13610124435118057,0.0,0.11543351363281465,0.001075287918137016,0.25261004594327574,7.96765952079226
25,5.514016654670044,0.0,0.0,0.0,0.0,0.1348850328099068,0.0,0.10935221403740132,0.0010236962622559417,0.2452609438072976,7.966626084976946
26,5.563813205262347,0.002729832155308428,0.0,0.0,0.0,0.13263772662231502,0.0,0.10773811797559842,0.0010420913210423832,0.2441477683351561,8.005290893467706
